Annotator,ACLED/GDELT,Index,Time,Country,Actor 1,Actor 2,Article Url,Event Description,Is the event relevant?,"Why is the event NOT relevant? 
(if applicable)",tribal/communal/ethnic conflict,religious conflict,socio-political violence against women,climate-related security risks,Other,train_dev_test_split
A1,GDELT,1108611657,20230613,Sudan,PRESIDENT,SUDAN,https://thefrontierpost.com/how-the-us-can-lead-the-way-on-sudan-peace-efforts/,"Dalia Al-Aqidi
The protracted nature of the ongoing conflict in Sudan portrays a grim outlook, with it so far lacking any conclusion or resolution. It is disheartening to witness how two rival generals have effectively converted the peaceful capital Khartoum into a dreadful battleground, driven solely by their personal vendettas.
The ongoing power struggle in Sudan involves two influential figures vying for control and authority. At the forefront, we have Gen. Abdel Fattah Al-Burhan, a prominent military commander who has assumed the de facto leadership role in Sudan, for an extended period, through his commanding presence and actions. Opposing him is Gen. Mohamed Hamdan Dagalo, who holds leadership over the Rapid Support Forces, a formidable paramilitary group within the country. This intricate power dynamic experienced a significant turning point in October 2021, when Al-Burhan and Dagalo formed an alliance to orchestrate a military coup that resulted in their ascension to the positions of effective leader and deputy leader of Sudan, respectively. However, the harmony between these two leaders has deteriorated, leading to public clashes and disagreements.
These tensions have manifested themselves in overt and covert maneuvers, as both generals have been observed deploying additional troops and equipment to military camps in Khartoum and across the nation. This accumulation of forces is a worrisome escalation, reflecting their intensified rivalry and determination to consolidate their power and influence. Regrettably, the civilian populace of Sudan is bearing the brunt of this power struggle. Within the city of Khartoum, an unfortunate multitude of individuals have found themselves trapped within the confines of their own homes since the initial eruption of violence on April 15. Perpetrators stationed in various central neighborhoods have engaged in relentless exchanges of fire, utilizing rooftops and the narrow spaces between buildings to target the warplanes above. This prolonged siege has resulted in an intermittent electricity supply, essential provisions such as food and water becoming scarce and a surge in incidents of looting and robbery, further intensifying the hardships endured by residents. According to the Ministry of Health, the distressing casualty figures stemming from the ongoing conflict indicate a civilian death toll in excess of 865, with an additional 5,000 individuals sustaining injuries. However, it is crucial to acknowledge that these reported numbers likely represent a conservative estimate, with the actual magnitude of human suffering and loss probably surpassing the official figures. The Office of the UN High Commissioner for Human Rights has severe apprehensions regarding the ongoing conflict in Sudan and its dire consequences for civilians. According to spokesman Jeremy Laurence, the office highlighted a particularly distressing incident that occurred last week involving an attack on a bustling livestock market in Khartoum. This assault tragically resulted in the loss of eight civilian lives, including three members of the same family. The Sudanese Armed Forces was responsible for the airstrike on the Al-Muwaliyyah market. Additionally, Laurence mentioned another incident that took place on the same day, when a child was reportedly killed after a shell struck their family residence in southern Khartoum. These incidents exemplify the grave toll being exacted on innocent lives amid the conflict. In the quest to end the conflict and restore peace, there are several measures that the US could consider implementing. Firstly, it could leverage its diplomatic influence by engaging in high-level negotiations with the conflicting parties in Sudan. By actively mediating and facilitating dialogue, America can encourage the rival factions to seek common ground, while emphasizing the importance of human rights, stability and reconciliation in their discussions. Moreover, Biden’s administration can exert diplomatic pressure on Sudan by collaborating with international partners and organizations, such as the UN and regional bodies like the African Union. By coordinating efforts and leveraging collective influence, a united front can be presented to Sudanese authorities, reinforcing the imperative of a rights-based approach and encouraging them to actively pursue a peaceful resolution.
In addition to such diplomatic endeavors, Washington can offer support for humanitarian efforts within Sudan. By providing robust assistance, including financial aid, resources and expertise, the US can contribute to alleviating the dire humanitarian conditions the Sudanese population faces. This could involve facilitating access to food, clean water, healthcare and shelter, thereby addressing the immediate needs of the affected civilians. Furthermore, the leader of the free world could prioritize efforts to strengthen governance structures, the rule of law and institutions in Sudan. The US could help establish a foundation for sustainable peace and stability by promoting transparency, accountability and inclusive governance. This may involve supporting capacity-building programs, fostering civil society engagement and promoting initiatives that uphold human rights, democracy and the rule of law. By aligning its actions with its stated commitment to human rights, the Biden administration could demonstrate its dedication to upholding its fundamental values and principles, while working toward a positive resolution in Sudan.",No,3. A summary of different situations,,,,,,dev
A1,GDELT,997740742,20210802,Ethiopia,JUNTA,MUSLIM,https://editorials.voa.gov/a/genocide-and-atrocities-prevention-report/5987832.html,"The State Department recently released its 2021 Congressional Report Pursuant to the Elie Wiesel Genocide and Atrocities Prevention Act. It “serves as a reminder that while we are making progress on preventing. . .genocide, crimes against humanity, and war crimes, we still have much more work to do,” said Acting Assistant Secretary for Conflict and Stabilization Operations Robert Faucher.
This year’s report highlights several countries where atrocities have occurred in recent years, and thus are at risk of further atrocities, said Acting Assistant Secretary Faucher:
“For example, the report draws attention to Xinjiang, where the People’s Republic of China has committed and continues to commit genocide and crimes against humanity, against Uyghurs, who are predominantly Muslim, and members of other ethnic and religious minority groups.”
The genocide report also draws attention to the heinous acts of sexual violence and gross human rights violations that have been reported in Tigray, Ethiopia, including indiscriminate attacks against civilians, medical personnel, and humanitarian workers.
The report calls attention to the brutal crackdown on peaceful protestors and human rights defenders in Burma by the military regime. Many among the junta are responsible for ethnic cleansing against the predominantly Muslim Rohingya, and appalling violence against other ethnic and religious minorities.",No,3. A summary of different situations,,,,,,test
A1,ACLED,SSD6634,2020-03-15,South Sudan,Military Forces of South Sudan (2011-),Civilians (South Sudan); Women (South Sudan),,"Around 15 March 2020 (month of), 3 women were raped by SSPDF soldiers in Lasu payam in Yei county (Central Equatoria state). 4 soldiers have been arrested, and confessed to the attack.",Yes,,,,X,,,train
A1,GDELT,1090606222,20230323,Ethiopia,AMHARA,ETHIOPIA,https://newbusinessethiopia.com/nbe-blog/uncertainty-in-ethiopia-after-five-officials-assassination/,"By Andualem Sisay Gessesse – On Saturday evening state media reported about coup attempt in Amhara Region of Ethiopia indicating that the president of the region Dr. Ambachew Mekonnen was shot and wounded. The president and his colleagues were in a meeting when gunmen enter the office and started shooting.
In the evening on the state broadcaster, ETV, Prime Minister Abiy Ahmed, who is also commander in chief of the Ethiopian Army, appeared in army uniform and denounced what he called coup attempt. He urged the people to remain calm.
In the morning state media reported that the foiled coup orchestrated by Brigadier General Asaminew Tsige, who was the head of Amhara Region Peace and Security, has led to the death of the President of Amhara Region of Ethiopia Dr. Ambachew Mekonnen and his colleague, Ezez Wasse.
The assassination took place around 5 pm on Saturday afternoon. The Amhara Mass Media Agency this morning has reported that Migbaru Kebede, Attorney General of the Amhara Region, who was in the meeting is also injured during the attack.
The news was followed by another breaking news, about the assassination of Ethiopian Army Chief of Staff, General Seare Mekonnen and his friend who is a retired Major General Gezae Abera. The army chief and his friend were assassinated by the bodyguard of General Seare in Addis Ababa a few hours after the assassination (around 9 PM) of the President of Amhara Region.",Yes,,X,,,,,train
A1,ACLED,ETH8099,2021-01-05,Ethiopia,Military Forces of Ethiopia (2018-),Civilians (Ethiopia); Women (Ethiopia); Refugees/IDPs (Ethiopia); Tigray Ethnic Group (Ethiopia),,"On 5 January 2021, Eritrean soldiers abducted and raped a 17 year old Tigrayan girl in Ziban Gadena (Western Tigray, Tigray). The girl was internally displaced.",Yes,,,,X,,,train
A1,ACLED,SSD8626,2022-03-14,South Sudan,Military Forces of South Sudan (2011-),Civilians (South Sudan); Women (South Sudan),,"On 14 March 2022, two women and a girl were raped by SSPDF soldiers in Yei town (Yei county, Central Equatoria state). There is no further information.",Yes,,,,X,,,dev
A1,GDELT,1149687605,20240104,Uganda,ASSAILANT,,https://chimpreports.com/bugingo-attack-worried-community-roots-for-enhanced-security-measures/,"The recent violent assault on Pastor Aloysious Bugingo and the tragic loss of his bodyguard, Muhumuza Richard, has cast a dark shadow over the streets of Kampala. Amid the hunt for justice, a glaring absence of CCTV cameras in the vicinity, as reported by eyewitnesses and the local community, has created significant hurdles for law enforcement in their investigation. The night of January 2nd, 2024, marked a harrowing event along Namungoona, Zone 2, Kasubi, Rubaga Division, Kampala. Unidentified assailants, swift and elusive, launched a vicious attack on Pastor Bugingo’s vehicle, registered as ‘PRAIZ GOD,’ at Bwalakata Junction along National Housing Road. The attackers used a waiting motorcycle to escape from the crime scene.",Yes,,,X,,,,test
A1,GDELT,956399065,20201125,Ethiopia,DUBAI,WASHINGTON,https://www.arabnews.com/node/1768301/world,"DUBAI: During the early hours of Nov. 4, as the results of the US presidential election monopolized international conversation, fighting erupted in a country considered a strategic partner of Washington.
Simmering tensions between the federal government of Ethiopian Prime Minister Abiy Ahmed and authorities in the country’s Tigray region reached a flashpoint, sowing the seeds of yet another humanitarian crisis in Africa.
While there are no official numbers on casualties, it is believed that hundreds of lives have already been lost on both sides, many of them civilians.
The assault, officially termed “a law enforcement” operation, has included use of air force jets and ground troops against the Tigray People’s Liberation Front (TPLF), the ruling party of the eponymous region. Abiy said he had no choice but to order the offensive after federal defense forces in the Tigrayan capital, Mekelle, had their camp looted in an attack by the TPLF.
Regardless of which side is to blame for the escalation, the UN has warned that an additional 1.1 million people need aid, with at least 40,000 Ethiopians crossing into neighboring Sudan and the UN refugee agency preparing for up to 200,000 arrivals over the next six months. Meanwhile, journalists have become wary of reporting from the war zone after the detention of at least six Ethiopian media workers.",Yes,,X,,,,,test
A1,ACLED,ETH6765,2021-05-09,Ethiopia,Police Forces of Ethiopia (2018-),Civilians (Ethiopia); Muslim Group (Ethiopia),,"On 9 May 2021, Ethiopian federal police forces fired tear gas to disperse crowds of Muslim worshipers in Meskel Square (Addis Ababa, Addis Ababa) who had gathered for a publicly announced Iftar. Some minor injuries were reported. No protest activity was taking place.",No,2. Not violence / conflict related,,,,,,test
A1,ACLED,SUD9890,2016-10-15,Sudan,Janjaweed,Civilians (Sudan); Farmers (Sudan); Women (Sudan),,"Seven Janjaweed militiamen attempted to rape a woman and her daughter, killing the man who attempted to defend them and stealing their cattle in Korofola in Tawila locality, North Darfur. ",Yes,,,,X,,,dev
A1,GDELT,1112747105,20230704,Sudan,,SUDAN,https://www.dawn.com/news/1762854/blasts-rock-khartoum-sudan-army-renews-call-for-volunteers,"WAD MADANI: Explosions again rocked Sudan’s capital Khartoum on Monday as the army rallied civilians to take up arms against a renewed onslaught by its paramilitary foes. The sound of artillery fire shook the dawn in northwest Khartoum and progressed towards the centre and east of the city, witnesses said. The fighting “began at 4:00am (0200 GMT) and is still going,” one resident said. The war-torn capital barely saw a few hours of respite after heavy clashes on Sunday between troops loyal to army chief Abdel Fattah al-Burhan and those of the paramilitary Rapid Support Forces (RSF). The army announced Monday it was ready to “receive and prepare” volunteer fighters, after Burhan last week urged Sudanese “youth and all those able to defend” to join the military.",Yes,,X,,,,,train
A1,GDELT,1098068669,20230425,Sudan,DIPLOMAT,SUDANESE,https://www.birminghammail.co.uk/news/midlands-news/missile-hits-shelter-terrified-birmingham-26773063,"Something went wrong, please try again later. Invalid email Something went wrong, please try again later. Something went wrong, please try again later. A terrified Birmingham doctor stranded in the middle of war-torn Sudan has spoken of her terror after the family home she was hiding in was struck by a missile. She is now trying to reach safety, deeming it 'too dangerous' to wait for official help as innocents are attacked in the city streets. Gynaecologist Dr Lina Badr, who works at City Hospital, sent desperate messages to her colleagues and friends after being stuck in Khartoum, 800km from a safe border, after the internal conflict intensified in the north African nation.",No,2. Not violence / conflict related,,,,,,train
A1,ACLED,ETH8195,2022-03-09,Ethiopia,Amhara Ethnic Militia (Ethiopia),Civilians (Ethiopia); Farmers (Ethiopia),,"Around 9 March 2022 (week of), ethnic Amhara militiamen burnt several houses of farmers, public and private assets, and killed 4 people in Dicho Abagermama kebele, Sibu Sire woreda (East Wellega, Oromia).",Yes,,X,,,,,dev
A1,ACLED,SUD23877,2023-09-06,Sudan,Unidentified Armed Group (Sudan),Civilians (Sudan); Women (Sudan),,"On 6 September 2023, armed men raped a girl and a woman in Khartoum - Jabra (Khartoum, Khartoum).",Yes,,,,X,,,test
A1,GDELT,1012303112,20211102,Sudan,BEJA,PORT SUDAN,https://www.aljazeera.com/opinions/2021/11/2/sudans-states-of-exception,"On October 25, the Sudanese military carried out a coup, announcing the dissolution of the power-sharing Sovereignty Council and the transitional government. It arrested Prime Minister Abdalla Hamdok and declared a state of emergency. In a statement, Sudan’s top general Abdel Fattah al-Burhan said the army had to step in because political rivalries “stirred up strife” and could lead to civil war. Al-Burhan’s move has earned near-unanimous international condemnation and stiff opposition at home, as huge protests continue to be organised.
Sudan’s escalating political crisis following the coup, now a threat to the very survival of the state, has its roots in the anomalous institutional architecture of the current political transition and the complicated relationship between its major protagonists.
The transition, which started after longtime President Omar al-Bashir was forced to step down by a popular uprising in 2019, is among the most prolonged and complicated among Sudan’s numerous past experiences and unique in the mutual hostility of its main partners.
The first (often neglected) transition the country went through was the 1953-55 self-government period, which started with an election while Sudan was still under British colonial rule. The constitution, the Self-Government Statute of 1953, was agreed in advance under colonial supervision.
It provided for an elected parliament, a cabinet, with the governor general as head of state. A referendum would decide on the deeply divisive issue of unity with Egypt versus full independence. That transition went smoothly, as parliament passed a unanimous resolution on independence without a referendum.",Yes,,,,,,X,test
A1,ACLED,SUD14351,2020-10-04,Sudan,Rioters (Sudan),,,"On 4 October 2020, residents of Suakin (Red Sea state) barricaded the Port Sudan-Khartoum highway to denounce water shortages.",No,2. Not violence / conflict related,,,,,,test
A1,GDELT,1108285266,20230612,Somalia,POLICE,FIGHTER,https://menafn.com/1106423245/At-Least-9-Killed-In-Somalia-Hotel-Attack,"The police said in a statement that security forces ended a seven-hour siege at Pearl Beach Hotel located inside Lido Beach after killing all the seven Al-Shabaab fighters involved in the attack. The police said six civilians and three security officers were among those killed in the incident, which started at around 7:55 p.m. local time on Friday at Lido Beach that is frequented by prominent persons. The police said 84 people, including children, women and elders who were trapped in the hotel, were safely rescued by the forces. Witnesses said two suicide bombers wearing explosive vests wrapped around their waists blew themselves up at the hotel entrance where hundreds of guests were seated. Lido Beach is a popular hangout spot surrounded by beach hotels and restaurants, which are a favorite for many Somalis.",Yes,,,X,,,,dev
A1,GDELT,1148527854,20231227,Uganda,ISLAMIC,,https://www.longwarjournal.org/archives/2023/12/jihadis-continue-to-target-civilians-in-western-uganda.php,"Photo of Musa Kamusi, the reported leader of the ISCAP unit inside western Uganda
On Christmas day, at least three people were burned alive in western Uganda by militants from the local Islamic State affiliate. The assault marks just the latest attack from jihadis in western Uganda.
Men from the Islamic State’s Central Africa Province (ISCAP), which is known locally in Uganda and neighboring Democratic Republic of the Congo as the Allied Democratic Forces (ADF), have terrorized western Uganda and plotted bomb attacks elsewhere in the country since June.
On Dec. 25, local Ugandan officials reported that at least three people were killed by suspected Islamic State gunmen in Nyabitusi I, a village just east of the Kibale National Park in Uganda’s western Kamwenge District. This marks the fourth attack by ISCAP in or near the Kibale National Park so far this month.
For instance, on Dec. 19, at least 10 people were killed in Kyitehurizi, another village near the park. This massacre followed a clash between the militants and the Uganda Peoples’ Defence Forces (UPDF) within the park just a week prior.",Yes,,,X,,,,train
A1,GDELT,1077819569,20221227,Sudan;South Sudan,NUER,SOUTH SUDAN,https://www.ndtv.com/world-news/ethnic-fighting-kills-56-in-south-sudan-official-says-3642680,"The fighting occurred between members of the Nuer and Murle communities. (File)
Clashes have killed 56 people during four days of fighting in South Sudan's eastern Jonglei state, after youth from the Nuer community attacked another ethnic group, a local official said on Tuesday, with the Nuer making up most of the casualties.
The territory of South Sudan, which gained independence from Sudan in 2011, has been plagued by blood feuds and clashes over cattle and land for decades.
Armed Nuer youth began attacking the Murle community on Dec. 24 in Gumuruk County and Likuangole County, said Abraham Kelang, a government official in the Greater Pibor Administrative Area.
""The government is managing to help the communities, but the fighting is still ongoing,"" Kelang told Reuters by telephone.",Yes,,X,,,,,train
A1,ACLED,ETH7959,2022-01-20,Ethiopia,Police Forces of Ethiopia (2018-2023) Oromo Regional Special Forces; Qeerroo Youth Organization,Civilians (Ethiopia); Orthodox Christian Group (Ethiopia),,"On 20 January 2022, Oromia regional special police fired tear gas and live bullets at Orthodox Christian civilians gathering for the return of the ark from timket holiday in Burayu [yeshi debele area] (Finfine special, Oromia), killing at least 2 people and wounding several people. The police forces and organized local qeerro youth groups tried to block people wearing and holding 'old Ethiopian flags' and as they refused, police resorted to a violent response.",Yes,,X,,,,,test
A1,GDELT,1109057043,20230615,Sudan,GENERALS,CIVILIAN,https://www.africanews.com/2023/06/15/sudan-army-accuses-rsf-of-west-darfur-governor-assassination/,"The Sudanese army on Wednesday accused the paramilitaries of the Rapid Support Forces (RSF) of ""abducting and murdering"" the governor of West Darfur state, nearly two months after a power struggle between two rivals plunged the country into a bloody war.
The assassination of Khamis Abdallah Abakar means the Rapid Support Forces have added a ""new line to their list of barbaric crimes committed against the entire Sudanese people"", the military said on Facebook, calling the incident ""act brutally"".
Since April 15, the war between the army of General Abdel Fattah Al-Burhane and the paramilitaries of the Rapid Support Forces (FSR), of General Mohamed Hamdane Daglo, has claimed more than 1,800 lives according to the NGO ACLED, and more than a million and a half displaced, according to the UN.
Generals Al-Burhane and Daglo had joined forces during the 2021 putsch to oust the civilians with whom they had shared power since the fall of Bashir in 2019. But differences then emerged and, in the absence of agreement on the integration of the FSR in the army, degenerated into war.
The fighting is mainly concentrated in the capital Khartoum and in Darfur, a region where local militias, tribal fighters and armed civilians have joined the clashes.",Yes,,,,,,X,test
A1,ACLED,UGA5118,2018-05-30,Uganda,Rioters (Uganda); Muslim Group (Uganda),Rioters (Uganda); Christian Group (Uganda),,"During the week of 30 May, a Christian group held a meeting at Kigobero Grounds, in Iganga town. Muslims and Christians at the meeting clashed when Muslims accused the Christian pastors of demoralising Islam. The police intervened to break up the riots.",No,3. A summary of different situations,,,,,,dev
A1,ACLED,SOM35513,2021-12-02,Somalia,Unidentified Armed Group (Somalia),Civilians (Somalia); Labor Group (Somalia),,"On 2 December 2021, an IED by an unknown group detonated, targeting a water tanker in Buulo Xaaji village (Kismaayo, Lower Juba). Four people who were delivering water to pastoralists affected by the droughts in Somalia were killed.",No,2. Not violence / conflict related,,,,,,train
